date,open,close,high,low,volume,amount,change
2025-09-11,1641.9,1691.51,1698.55,1631.35,2211336.0,3000665828.0,3.021499482307077
2025-09-12,1690.62,1695.43,1711.96,1684.83,1749137.0,2572192334.0,0.2845110077959667
2025-09-15,1707.28,1687.49,1707.51,1680.66,1522989.0,2133545481.0,-1.1591537416241018
2025-09-16,1686.66,1680.43,1702.35,1660.87,1638896.0,2010951327.0,-0.3693690488895224
2025-09-17,1680.81,1714.18,1727.93,1676.28,2568730.0,3822566959.0,1.985352300378991
2025-09-18,1713.99,1703.22,1755.18,1687.84,3515490.0,4781483111.0,-0.6283583918225883
2025-09-19,1702.54,1703.2,1724.05,1685.91,2303805.0,3709835537.0,0.038765609031216994
2025-09-22,1705.34,1720.83,1721.72,1689.75,2306021.0,4348933955.0,0.9083232669145161
2025-09-23,1719.84,1703.94,1733.37,1655.42,2903324.0,4438904747.0,-0.9245046050795344
2025-09-24,1694.58,1782.86,1803.26,1691.2,3412147.0,8182563563.0,5.209550449078827
2025-09-25,1769.87,1753.2,1776.65,1749.58,2662813.0,5506491179.0,-0.9418770870176819
2025-09-26,1747.04,1724.81,1764.56,1723.77,2233834.0,4436408522.0,-1.2724379521934255
2025-09-29,1730.0,1746.94,1753.49,1715.97,2137615.0,3774885489.0,0.9791907514450899
2025-09-30,1751.01,1776.03,1783.73,1748.67,2903121.0,5264426253.0,1.4288896122809112
2025-10-09,1788.86,1796.34,1816.07,1780.22,3611442.0,6157523785.0,0.4181433985890466
2025-10-10,1781.93,1779.18,1785.53,1761.59,3339115.0,4988421437.0,-0.15432704988411441
2025-10-13,1719.27,1803.31,1806.0,1717.38,3311081.0,6720428886.0,4.888121121173519
2025-10-14,1808.73,1749.73,1842.45,1745.73,5313900.0,6915890229.0,-3.2619572849457907
2025-10-15,1750.68,1806.93,1807.93,1727.31,4821027.0,5127301157.0,3.2130372198231547
2025-10-16,1831.36,1776.02,1831.36,1765.17,3842100.0,4275867783.0,-3.021798008037738
2025-10-17,1768.77,1705.37,1775.31,1701.52,3431390.0,3830813978.0,-3.5844117663687247
2025-10-20,1727.45,1730.62,1748.17,1715.56,2184726.0,2622426095.0,0.1835074821268254
2025-10-21,1732.87,1752.11,1758.52,1727.32,2233896.0,2688052111.0,1.1102967908729455
2025-10-22,1739.92,1724.14,1743.5,1715.8,2169597.0,2375883301.0,-0.9069382500344827
2025-10-23,1722.58,1709.64,1722.58,1683.54,2248420.0,2423114886.0,-0.751198783220508
2025-10-24,1722.75,1733.49,1738.43,1714.98,2156516.0,3272742298.0,0.6234218545929479
2025-10-27,1785.79,1797.83,1820.57,1779.46,5765628.0,8174531853.0,0.6742114134360683
2025-10-28,1789.56,1759.37,1789.56,1749.14,4045098.0,4997759619.0,-1.6870068620219527
2025-10-29,1767.75,1810.35,1810.41,1767.75,4023358.0,4981948836.0,2.4098430207891335
2025-10-30,1803.42,1769.45,1805.08,1769.37,4177844.0,4773473431.0,-1.883643299952314
2025-10-31,1774.98,1762.88,1800.46,1761.54,4087051.0,4353866867.0,-0.6816978219472845
2025-11-03,1770.61,1758.16,1774.18,1725.86,4723930.0,5014508852.0,-0.7031475028379948
2025-11-04,1755.81,1730.05,1779.47,1715.58,4248130.0,4174321175.0,-1.4671291312841361
2025-11-05,1705.15,1753.77,1766.97,1702.23,6064204.0,5822083501.0,2.8513620502595014
2025-11-06,1760.02,1811.94,1825.92,1757.94,7931669.0,8474148838.0,2.949966477653667
2025-11-07,1793.28,1809.04,1828.42,1788.98,7284191.0,8010311333.0,0.8788365453247675
2025-11-10,1815.84,1833.07,1847.26,1802.79,7106871.0,7897678302.0,0.9488721473257565
2025-11-11,1832.85,1823.47,1849.81,1805.51,6519170.0,7025445767.0,-0.5117712851569896
2025-11-12,1817.37,1764.09,1817.37,1757.4,5812159.0,6283302631.0,-2.9317090080721027
2025-11-13,1760.77,1783.87,1795.33,1755.07,4654700.0,5096410746.0,1.311926032360837
2025-11-14,1765.77,1731.36,1770.66,1731.36,3735762.0,4226464136.0,-1.9487249188739237
2025-11-17,1750.2,1768.67,1783.68,1750.2,3306795.0,4322025872.0,1.055307964804024
2025-11-18,1768.19,1747.88,1781.91,1738.38,2891267.0,3621247059.0,-1.1486322171259844
2025-11-19,1744.93,1757.83,1768.51,1740.21,3153094.0,5095825872.0,0.739284670445225
2025-11-20,1776.3,1734.98,1776.3,1730.45,3162411.0,4999772285.0,-2.3261836401508718
2025-11-21,1687.22,1645.03,1706.77,1645.03,4790272.0,6792204309.0,-2.5005630563886188
2025-11-24,1657.76,1696.54,1700.95,1653.08,3027964.0,5248406353.0,2.3393012257504084
2025-11-25,1704.79,1720.02,1735.86,1692.28,3090323.0,5083154766.0,0.8933651652109655
2025-11-26,1714.62,1689.66,1714.98,1686.57,2081521.0,3523447638.0,-1.455716135353595
2025-11-27,1681.96,1675.64,1718.04,1673.98,1976422.0,3049283297.0,-0.37575209874194015
2025-11-28,1672.45,1706.4,1709.34,1667.95,2514611.0,2615799021.0,2.029956052497835
2025-12-01,1710.98,1745.3,1756.82,1704.7,2389601.0,4812998604.0,2.0058679820921306
2025-12-02,1739.02,1759.32,1760.15,1726.34,2636223.0,5097120325.0,1.1673241250819402
2025-12-03,1762.57,1789.56,1801.58,1762.57,2778944.0,5206438235.0,1.5312867006700448
2025-12-04,1778.01,1748.14,1780.61,1730.22,1920122.0,3583632895.0,-1.6799680541729176
2025-12-05,1733.22,1748.27,1751.24,1708.71,3272734.0,4053416485.0,0.8683260059311544
2025-12-08,1747.97,1760.94,1771.36,1745.69,2484407.0,3845956960.0,0.7420035812971634
2025-12-09,1759.17,1759.83,1778.92,1750.84,1913759.0,3744109350.0,0.03751769300294198
2025-12-10,1752.8,1762.06,1765.97,1738.39,2117062.0,3322260402.0,0.5282975810132355
2025-12-11,1761.72,1741.24,1768.43,1739.39,2232851.0,3327020804.0,-1.1625002838135468
2025-12-12,1737.7,1859.34,1864.0,1737.7,3995229.0,7269811366.0,7.000057547332673
2025-12-15,1871.69,1872.1,1909.13,1866.0,7268932.0,12188611434.0,0.021905336888045267
2025-12-16,1863.65,1840.33,1863.78,1818.38,4709740.0,8575214213.0,-1.2513079172591506
2025-12-17,1829.2,1862.04,1866.94,1818.03,4656320.0,8118136581.0,1.7953203586267175
2025-12-18,1846.64,1819.86,1859.76,1816.36,3912045.0,6329085039.0,-1.4502014469523132
2025-12-19,1830.96,1820.33,1851.67,1818.58,3274973.0,5319171349.0,-0.580569755756549
2025-12-22,1821.19,1856.88,1862.52,1820.48,3298635.0,5884576657.0,1.95970766367046
2025-12-23,1850.15,1875.89,1878.69,1846.39,4473512.0,6616582904.0,1.39123854822582
2025-12-24,1873.2,1896.69,1918.52,1856.36,3194833.0,5517135717.0,1.2540038436899428
2025-12-25,1888.05,1908.68,1912.53,1887.19,2624753.0,4670240869.0,1.0926617409496628
2025-12-26,1901.59,1891.18,1908.88,1873.46,3522661.0,5152266655.0,-0.5474366188294981
