date,open,close,high,low,volume,amount,change
2025-09-11,1949.88,2040.15,2040.55,1939.48,26750002.0,66090751743.0,4.629515662502307
2025-09-12,2034.69,2054.04,2077.76,2026.68,23562508.0,65478122093.0,0.9510048213732759
2025-09-15,2060.62,2047.65,2064.78,2027.79,26479882.0,62900264710.0,-0.6294222127320807
2025-09-16,2044.97,2097.09,2097.09,2043.85,30450388.0,66562664946.0,2.548692645857891
2025-09-17,2092.95,2129.24,2133.98,2082.26,26235380.0,64310096547.0,1.7339162426240458
2025-09-18,2131.29,2128.71,2195.08,2098.59,33011510.0,91031806414.0,-0.1210534465042264
2025-09-19,2142.31,2110.67,2155.56,2100.82,23206363.0,70174033682.0,-1.4769104377984452
2025-09-22,2127.82,2187.14,2187.78,2126.82,25815759.0,74801975714.0,2.7878297976332447
2025-09-23,2198.58,2156.06,2205.89,2102.64,26960093.0,76669793944.0,-1.9339755660471751
2025-09-24,2140.31,2198.96,2199.28,2121.49,22340581.0,74524375320.0,2.740257252454088
2025-09-25,2197.5,2198.69,2223.2,2180.52,28064264.0,82020251197.0,0.05415244596132217
2025-09-26,2185.35,2126.62,2194.19,2126.62,20620985.0,62993445994.0,-2.6874413709474467
2025-09-29,2137.59,2169.75,2174.6,2124.7,20022816.0,62154732267.0,1.5044980562221872
2025-09-30,2189.77,2197.49,2221.86,2185.86,21184331.0,71008611232.0,0.352548441160478
2025-10-09,2233.34,2232.1,2264.34,2227.16,19725251.0,72651653277.0,-0.055522222321734996
2025-10-10,2216.65,2162.08,2226.42,2153.0,22862823.0,80694890556.0,-2.461823021225731
2025-10-13,2035.91,2125.26,2127.58,2035.91,18266212.0,65662626662.0,4.3887008757754575
2025-10-14,2146.11,2041.84,2156.5,2032.34,17625366.0,66557992749.0,-4.858558042225245
2025-10-15,2040.28,2076.42,2076.83,2009.07,16726389.0,59291990119.0,1.7713255043425462
2025-10-16,2070.28,2061.22,2094.25,2053.99,13911194.0,57040960232.0,-0.43762196417877774
2025-10-17,2054.54,1976.31,2056.16,1975.4,14838172.0,53188007377.0,-3.8076649761017074
2025-10-20,2015.24,2013.49,2044.05,1998.24,13224357.0,46670078797.0,-0.08683829221333439
