date,open,close,high,low,volume,amount,change
2025-09-11,4438.84,4548.03,4548.03,4427.92,253264051.0,693156671397.7,2.4598769047769147
2025-09-12,4544.59,4522.0,4564.67,4517.79,266442003.0,689576075691.4,-0.4970745435781918
2025-09-15,4534.89,4533.06,4566.91,4522.5,231885678.0,613314652419.1,-0.0403537902793657
2025-09-16,4539.92,4523.34,4552.42,4494.79,249269206.0,613728334805.9,-0.365204673210099
2025-09-17,4517.29,4551.02,4556.03,4503.8,235716472.0,608454200521.1,0.7466866196325778
2025-09-18,4546.03,4498.11,4573.83,4454.99,309859826.0,839987127411.0,-1.0541065501107576
2025-09-19,4499.09,4501.92,4533.09,4491.84,225044000.0,603887059817.1,0.06290160899203899
2025-09-22,4512.03,4522.61,4523.87,4487.13,196459956.0,563149164266.0,0.23448425653198068
2025-09-23,4536.76,4519.78,4560.73,4459.73,252827062.0,680513630695.8,-0.3742759149701653
2025-09-24,4495.27,4566.07,4567.49,4494.11,220482608.0,629161495484.1,1.5749888215835592
2025-09-25,4563.98,4593.49,4613.95,4558.84,229823333.0,669866986618.6,0.6465847790744093
2025-09-26,4576.91,4550.05,4597.85,4550.05,208482114.0,598723903173.9,-0.5868588195966202
2025-09-29,4555.03,4620.05,4647.57,4541.43,274358877.0,693395231241.2,1.4274329697060268
2025-09-30,4629.9,4640.69,4647.5,4616.22,247980359.0,664624101862.0,0.2330503898572316
2025-10-09,4662.11,4709.48,4726.34,4651.99,347678696.0,862208005908.4,1.0160635420442652
2025-10-10,4679.5,4616.83,4692.59,4600.96,319020899.0,792743047250.5,-1.3392456459023416
2025-10-13,4490.87,4593.98,4601.81,4490.87,315010354.0,714001634395.3,2.295991645271399
2025-10-14,4634.05,4539.06,4641.45,4520.93,372954030.0,808959003201.4,-2.049826825347154
2025-10-15,4544.24,4606.29,4608.82,4526.83,284771855.0,607326345325.6,1.3654648522085142
2025-10-16,4588.92,4618.42,4645.1,4586.28,248235518.0,560567191741.4,0.64285278453318
2025-10-17,4610.7,4514.23,4618.56,4509.33,256905617.0,559085965218.7,-2.0923070249636773
2025-10-20,4558.24,4538.22,4570.44,4520.5,218420405.0,505798833703.2,-0.43920460528624045
2025-10-21,4556.12,4607.87,4615.46,4547.93,215711175.0,551390253215.9,1.1358348770445028
2025-10-22,4576.03,4592.57,4603.49,4567.24,185333960.0,440935302747.4,0.36144867931372754
2025-10-23,4578.7,4606.34,4611.34,4541.69,200463917.0,420800208775.6,0.6036647956843717
2025-10-24,4622.79,4660.68,4660.68,4622.79,208814483.0,551986648560.5,0.8196348958096804
2025-10-27,4699.38,4716.02,4720.43,4687.69,262200674.0,672670372522.7,0.35408926283893466
2025-10-28,4697.73,4691.97,4734.32,4679.23,220906645.0,571563257095.5,-0.12261241067492831
2025-10-29,4701.04,4747.84,4747.84,4697.27,246211324.0,645898688765.2,0.9955243946020493
2025-10-30,4735.98,4709.91,4761.83,4706.45,273289118.0,719956285438.0,-0.5504668516336579
2025-10-31,4702.49,4640.67,4706.14,4640.67,281464740.0,680712251492.7,-1.3146226786234465
2025-11-03,4636.73,4653.4,4653.4,4595.73,239869809.0,557602941095.9,0.35952061043019706
2025-11-04,4649.35,4618.7,4665.32,4595.07,233224032.0,505177700976.6,-0.6592319356469301
2025-11-05,4562.11,4627.26,4642.61,4558.76,203045871.0,468361161388.7,1.4280672758877044
2025-11-06,4642.01,4693.4,4698.09,4642.01,224241008.0,553641780921.2,1.1070635349772924
2025-11-07,4673.76,4678.79,4701.37,4666.04,212497377.0,507573849500.2,0.10762212865016059
2025-11-10,4688.12,4695.05,4695.18,4654.21,236026764.0,593977127605.0,0.14782044828204677
2025-11-11,4706.34,4652.17,4707.13,4648.49,186638858.0,477629076357.0,-1.1510005651950364
2025-11-12,4643.56,4645.91,4669.61,4620.99,209460592.0,492308866408.7,0.05060772338463278
2025-11-13,4643.79,4702.07,4703.49,4643.79,207367474.0,510060678210.4,1.2550093781157146
2025-11-14,4663.32,4628.14,4684.26,4628.02,192092676.0,444720433578.5,-0.7543981541047876
2025-11-17,4616.81,4598.05,4624.9,4580.26,188955466.0,438940097527.8,-0.4063411749671357
2025-11-18,4584.79,4568.19,4606.62,4552.8,177713185.0,420150126547.0,-0.36206674678666556
2025-11-19,4568.04,4588.29,4607.86,4568.04,172924974.0,385230481969.8,0.4432973441563559
2025-11-20,4619.54,4564.95,4620.65,4560.18,194562593.0,415064817729.8,-1.1817193919740958
2025-11-21,4513.39,4453.61,4527.04,4453.18,222851013.0,481295814462.6,-1.3245033112582925
2025-11-24,4473.16,4448.05,4478.81,4421.81,185833729.0,425807469499.9,-0.5613481297337827
2025-11-25,4475.84,4490.4,4510.77,4467.35,169571929.0,411523796962.4,0.3253020662043212
2025-11-26,4490.2,4517.63,4538.14,4485.7,156200368.0,427361377738.4,0.6108859293572734
2025-11-27,4520.01,4515.4,4559.22,4509.86,150311772.0,417789843567.7,-0.10199092479885183
2025-11-28,4511.5,4526.66,4531.72,4492.43,142902096.0,341832317979.4,0.33603014518452523
2025-12-01,4539.19,4576.49,4576.97,4531.29,200382317.0,463861587251.4,0.8217325117476948
2025-12-02,4571.91,4554.33,4575.49,4539.43,148493132.0,364366426477.8,-0.3845220050263441
2025-12-03,4554.59,4531.05,4569.82,4523.5,169762790.0,374486168902.9,-0.5168412524508236
2025-12-04,4533.6,4546.57,4557.42,4514.19,147198110.0,348767399211.7,0.2860861125815984
2025-12-05,4547.91,4584.54,4593.83,4535.02,196799968.0,412146806538.3,0.80542490946391
2025-12-08,4593.14,4621.75,4640.63,4592.74,199620990.0,496716196112.2,0.6228854334942908
2025-12-09,4611.38,4598.22,4628.7,4584.25,184160344.0,452113884581.0,-0.28538094886996634
2025-12-10,4586.25,4591.83,4598.54,4549.08,169111106.0,401452781497.6,0.12166802943581198
2025-12-11,4597.19,4552.18,4610.28,4547.14,168419405.0,432431093509.7,-0.9790763488130643
2025-12-12,4558.74,4580.95,4583.68,4530.78,212826520.0,523863221651.9,0.48719602346262425
2025-12-15,4550.0,4552.06,4595.05,4548.44,167589967.0,424383389792.3,0.04527472527473407
2025-12-16,4542.42,4497.55,4553.08,4484.27,165165201.0,390500134302.7,-0.9877994549160996
2025-12-17,4499.77,4579.88,4594.66,4498.93,178424830.0,452504741114.1,1.7803132160088109
2025-12-18,4553.98,4552.79,4571.97,4544.14,151681328.0,382102395684.6,-0.026130988717552556
2025-12-19,4561.37,4568.18,4591.09,4546.85,154876220.0,371577144281.1,0.14929725060673438
2025-12-22,4587.67,4611.62,4615.87,4587.67,165252856.0,448240599513.9,0.5220514989090282
2025-12-23,4616.03,4620.73,4644.53,4607.8,169256412.0,433141326005.5,0.1018190956297905
2025-12-24,4623.68,4634.06,4639.43,4602.14,153711241.0,406375640662.1,0.22449650494844167
2025-12-25,4629.32,4642.54,4651.15,4621.92,139434186.0,385356060832.4,0.2855710989951063
2025-12-26,4639.79,4657.24,4676.13,4635.11,175396565.0,460426934267.5,0.3760946077300873
2025-12-29,4658.27,4639.37,4672.04,4629.06,200397133.0,482613536466.5,-0.40573002423647714
2025-12-30,4617.32,4651.28,4664.33,4616.63,180374974.0,457185489036.8,0.7354915838625011
2025-12-31,4656.48,4629.94,4667.05,4622.1,170760224.0,444491545749.0,-0.5699584235302195
2026-01-05,4661.62,4717.75,4721.64,4661.62,234144839.0,630577351311.4,1.204087849288447
2026-01-06,4719.21,4790.69,4790.69,4718.01,296970686.0,725414566872.9,1.5146602927184754
2026-01-07,4796.93,4776.67,4802.6,4751.07,259095564.0,664897929360.7,-0.42235346356941245
2026-01-08,4761.01,4737.65,4765.49,4717.01,238804957.0,630655637961.6,-0.4906521935471797
2026-01-09,4725.96,4758.92,4771.43,4719.13,254688038.0,668788811126.9,0.697424438632575
