date,open,close,high,low,volume,amount,change
2025-09-11,1254.19,1326.03,1332.76,1244.14,13543504.0,106001674207.0,5.727999744855238
2025-09-12,1324.84,1338.02,1360.07,1323.45,13696011.0,115807804437.0,0.9948371124060313
2025-09-15,1362.85,1340.4,1366.46,1332.43,14248895.0,97644986106.0,-1.6472832666837744
2025-09-16,1347.2,1358.05,1370.29,1347.2,11586109.0,94773304659.0,0.805374109263651
2025-09-17,1351.64,1370.43,1378.87,1338.95,12560120.0,92229459029.0,1.3901630611701312
2025-09-18,1385.5,1380.35,1433.57,1351.14,17429025.0,139607845583.0,-0.3717069649945933
2025-09-19,1388.86,1362.65,1400.69,1359.29,12139062.0,101284457328.0,-1.887159252912447
2025-09-22,1361.25,1408.64,1422.74,1353.71,12651973.0,114241889039.0,3.481359044995416
2025-09-23,1406.61,1407.3,1419.28,1364.44,15183674.0,115457332152.0,0.04905410881481395
2025-09-24,1395.37,1456.47,1479.7,1394.68,19780341.0,126825424534.0,4.378766922035026
2025-09-25,1449.65,1474.49,1486.43,1448.69,16547220.0,102948520074.0,1.7135170558410593
2025-09-26,1461.95,1450.82,1485.88,1448.96,17251029.0,93897738148.0,-0.7613119463730024
2025-09-29,1448.55,1470.41,1470.41,1424.84,15414107.0,96297207528.0,1.5090953021987592
2025-09-30,1488.29,1495.29,1505.91,1478.42,14731506.0,99799141643.0,0.4703384421046974
2025-10-09,1526.92,1539.08,1588.83,1522.79,22149716.0,146061491313.0,0.7963744007544503
2025-10-10,1511.16,1452.68,1512.34,1444.99,17976513.0,119486421650.0,-3.8698747981682957
2025-10-13,1409.68,1473.02,1476.13,1409.68,16773966.0,111559785341.0,4.493218319051126
2025-10-14,1488.05,1410.3,1489.17,1399.97,18468908.0,117052460764.0,-5.224958838748698
2025-10-15,1409.53,1430.0,1430.28,1390.99,12889308.0,79721087814.0,1.4522571353571778
2025-10-16,1419.55,1416.58,1444.23,1409.7,10898137.0,74172166332.0,-0.20922123208059082
2025-10-17,1411.74,1363.17,1415.66,1360.45,11679231.0,72841743901.0,-3.4404352076161286
2025-10-20,1390.71,1367.9,1397.73,1358.69,9369503.0,68934846158.0,-1.640169409869775
2025-10-21,1374.98,1406.32,1410.07,1368.01,9513313.0,76299647522.0,2.2793058808128057
2025-10-22,1392.59,1405.41,1424.23,1380.98,8166757.0,70472598304.0,0.9205868202414323
2025-10-23,1396.09,1401.26,1403.94,1375.75,7774473.0,55402363288.0,0.37031996504523873
2025-10-24,1421.21,1462.22,1466.85,1416.46,10817862.0,98926187021.0,2.8855693388028505
2025-10-27,1489.66,1484.21,1491.11,1457.65,13207003.0,107028877061.0,-0.3658552958393221
2025-10-28,1470.48,1471.73,1496.06,1463.46,10854806.0,87813330823.0,0.0850062564604755
2025-10-29,1466.44,1489.12,1495.38,1465.31,12665859.0,86154047012.0,1.5466026567742175
2025-10-30,1485.94,1461.3,1494.4,1461.3,13581418.0,98812179518.0,-1.6582096181541717
2025-10-31,1451.06,1415.53,1452.24,1415.53,14075252.0,94950544439.0,-2.4485548495582523
2025-11-03,1403.46,1400.86,1406.01,1372.25,13433442.0,77516250288.0,-0.18525643766121844
2025-11-04,1406.86,1387.24,1415.73,1378.64,10782302.0,68382286891.0,-1.3945950556558502
2025-11-05,1355.72,1390.39,1398.37,1355.72,11805661.0,62705432576.0,2.557312719440598
2025-11-06,1405.15,1436.86,1442.81,1403.07,13704385.0,90991808201.0,2.25669857310606
2025-11-07,1420.23,1415.69,1434.39,1414.47,13199185.0,64751083271.0,-0.31966653288551594
2025-11-10,1422.32,1407.56,1431.77,1389.77,13447623.0,72773485804.0,-1.0377411552955729
2025-11-11,1416.86,1387.53,1423.68,1385.07,11752127.0,64848480576.0,-2.0700704374461787
2025-11-12,1377.15,1379.45,1388.51,1362.38,12724041.0,61853436539.0,0.1670115818901321
2025-11-13,1376.37,1399.29,1404.63,1373.49,12111630.0,62760074626.0,1.6652498964667986
2025-11-14,1379.44,1361.23,1390.62,1361.23,11525900.0,61292056598.0,-1.3201009105144144
2025-11-17,1363.48,1354.04,1377.55,1344.91,11305955.0,59542322532.0,-0.6923460556810555
2025-11-18,1350.51,1357.93,1374.03,1348.1,11535985.0,61223643328.0,0.5494220701809
2025-11-19,1355.13,1344.8,1363.86,1338.45,9006130.0,45504665174.0,-0.762288488927273
2025-11-20,1362.85,1328.19,1364.48,1327.29,7747039.0,43744812331.0,-2.5431999119492135
2025-11-21,1300.48,1285.83,1311.32,1282.45,10070649.0,56030260829.0,-1.1265071358267786
2025-11-24,1295.88,1296.6,1306.04,1273.49,8813653.0,50827084231.0,0.055560700064805374
2025-11-25,1309.67,1302.17,1323.21,1298.85,8273023.0,52735462781.0,-0.5726633426741087
2025-11-26,1296.46,1315.04,1327.54,1293.18,7815827.0,57575974663.0,1.4331333014516396
2025-11-27,1325.85,1310.7,1351.44,1308.85,8030489.0,61809593423.0,-1.1426631971942425
2025-11-28,1307.96,1327.15,1329.33,1303.2,8824692.0,49577479799.0,1.4671702498547399
2025-12-01,1329.42,1336.76,1341.95,1310.42,11191986.0,65492746053.0,0.5521204735899804
2025-12-02,1334.0,1320.16,1335.75,1315.46,7621464.0,47078535234.0,-1.0374812593703087
2025-12-03,1317.58,1308.37,1324.71,1303.34,7027058.0,43255406999.0,-0.6990087888401492
2025-12-04,1303.99,1326.16,1326.23,1294.76,6778771.0,48747634506.0,1.7001664123191187
2025-12-05,1319.72,1326.1,1330.59,1303.72,7091686.0,49821496521.0,0.4834358803382446
2025-12-08,1325.97,1350.8,1360.71,1325.74,8311050.0,63951607380.0,1.8725913859287864
2025-12-09,1338.85,1347.11,1358.9,1337.32,7057057.0,54818699080.0,0.6169473802143624
2025-12-10,1337.52,1346.7,1350.65,1317.71,8273640.0,55356792115.0,0.6863448770859549
2025-12-11,1349.67,1325.83,1350.87,1325.83,8124996.0,53240107240.0,-1.7663577022531538
2025-12-12,1324.3,1348.88,1351.56,1314.01,12189711.0,83865891924.0,1.856074907498313
2025-12-15,1333.36,1318.91,1343.78,1318.53,8470120.0,58345710995.0,-1.0837283254334777
2025-12-16,1313.53,1293.38,1317.15,1286.25,7330726.0,47152141125.0,-1.534034243603105
2025-12-17,1294.7,1325.33,1327.76,1289.24,7738921.0,50178487844.0,2.3657990268015667
2025-12-18,1314.67,1305.97,1323.68,1305.97,6270465.0,38718647751.0,-0.6617630279842124
2025-12-19,1314.75,1308.59,1323.86,1306.8,6436585.0,38885173625.0,-0.4685301388096658
2025-12-22,1314.07,1335.25,1338.14,1314.07,8018670.0,55138663623.0,1.6117862823137326
2025-12-23,1333.54,1340.02,1348.54,1331.39,7627586.0,52823796961.0,0.4859246816743419
2025-12-24,1342.13,1352.13,1352.74,1332.92,7339090.0,51088300754.0,0.7450843062892566
2025-12-25,1347.78,1349.06,1356.6,1339.97,7262305.0,44828071714.0,0.0949709893306009
2025-12-26,1346.11,1345.83,1356.11,1339.14,8521601.0,45190362300.0,-0.020800677507779655
2025-12-29,1345.98,1346.32,1364.27,1341.94,10390297.0,58488935108.0,0.02526040505801856
2025-12-30,1346.13,1359.87,1367.01,1346.03,7941505.0,59271326468.0,1.020703795324358
2025-12-31,1367.17,1344.2,1368.48,1342.68,7306915.0,49284581754.0,-1.6801129340169858
2026-01-05,1360.9,1403.41,1403.53,1360.9,10345466.0,81187605285.0,3.1236681607759564
2026-01-06,1401.79,1429.3,1442.1,1400.4,11820332.0,80797910467.0,1.962490815314704
2026-01-07,1442.51,1443.39,1452.04,1427.98,12338548.0,87127775010.0,0.06100477639670499
2026-01-08,1441.19,1455.17,1483.23,1441.19,13482288.0,99247984749.0,0.9700317099063981
2026-01-09,1442.22,1475.97,1477.24,1437.58,13306405.0,91006167416.0,2.3401422806506633
2026-01-12,1490.5,1511.84,1515.11,1478.85,15675919.0,106640241923.0,1.431734317343168
2026-01-13,1508.18,1469.57,1511.65,1460.41,15234747.0,104449149934.0,-2.5600392526091134
2026-01-14,1479.3,1500.91,1532.58,1479.3,17779745.0,123880673547.0,1.4608260663827572
2026-01-15,1491.23,1493.95,1504.84,1468.02,14088173.0,95846397716.0,0.18239976395324847
